#nsam	1	2	3	4	5	6	7	8	9	10
8	1.98E-15	1.57E-15	1.77E-15
16	3.69E-15	3.11E-15	2.5E-15	2.26E-15
32	6.45E-15	6.37E-15	5.4E-15	4.69E-15	4E-15
64	6.47E-15	1.24E-14	1.12E-14	9.94E-15	8.7E-15	7.56E-15
128	6.42E-15	1.38E-14	2.26E-14	2.15E-14	1.94E-14	1.71E-14	1.45E-14
256	6.41E-15	1.37E-14	2.49E-14	4.39E-14	4.1E-14	3.81E-14	3.43E-14	2.84E-14
512	6.44E-15	1.38E-14	2.49E-14	4.74E-14	8.66E-14	8.25E-14	7.55E-14	6.67E-14	5.59E-14
1024	6.35E-15	1.36E-14	2.49E-14	4.76E-14	9.23E-14	1.69E-13	1.64E-13	1.52E-13	1.34E-13	1.11E-13
2048	6.42E-15	1.38E-14	2.48E-14	4.75E-14	9.09E-14	1.79E-13	3.38E-13	3.26E-13	2.99E-13	2.64E-13
4096	6.51E-15	1.38E-14	2.48E-14	4.72E-14	9.32E-14	1.82E-13	3.51E-13	6.71E-13	6.45E-13	6.04E-13
